metric,value
simulations,10000
trades_per_simulation,12
observed_final_capital,99299.9
observed_return_percentage,-0.700138
observed_maximum_drawdown_percentage,4.91758
mean_final_capital,99512.6
median_final_capital,99051.3
percentile_5_final_capital,89848
percentile_95_final_capital,110832
mean_return_percentage,-0.487377
median_return_percentage,-0.948704
percentile_5_return_percentage,-10.152
percentile_95_return_percentage,10.8324
median_maximum_drawdown_percentage,5.6759
percentile_95_maximum_drawdown_percentage,11.274
worst_maximum_drawdown_percentage,17.4816
probability_of_profit,44.23
probability_of_loss,55.77
probability_drawdown_above_10,9.92
probability_drawdown_above_15,0.25
probability_drawdown_above_20,0
