fast_period,slow_period,rsi_period,threshold,final_capital,return_percentage,profit_factor,expectancy,maximum_drawdown_percentage,total_trades
3,20,7,45,65435,-34.565,0.561149,-255.759,41.2886,151
3,20,7,50,66954,-33.046,0.57381,-251.286,39.9257,146
3,20,7,55,72848.8,-27.1512,0.630383,-224.886,35.1469,128
3,20,7,60,84356.6,-15.6434,0.722441,-174.578,24.0238,86
3,20,7,65,80105.5,-19.8945,0.433556,-505.21,23.6615,41
3,20,14,45,67387.1,-32.6129,0.578067,-248.415,39.537,145
3,20,14,50,73369.9,-26.6301,0.608116,-230.04,34.4145,120
3,20,14,55,88534.1,-11.4659,0.740616,-164.354,20.6623,62
3,20,14,60,90150.8,-9.84921,0.646922,-308.888,18.65,30
3,20,14,65,87529.3,-12.4707,0.0312531,-1181.93,13.2394,11
3,20,21,45,65588.7,-34.4113,0.533651,-274.637,41.1506,139
3,20,21,50,79400,-20.6,0.631825,-224.07,27.3425,92
3,20,21,55,91535.9,-8.46408,0.790697,-145.348,17.8453,49
3,20,21,60,92627.3,-7.37273,0.557864,-399.899,12.1543,18
3,20,21,65,97300.9,-2.69906,0,-903.164,4.16988,3
3,20,28,45,70408.1,-29.5919,0.579577,-238.718,36.8264,133
3,20,28,50,79349.6,-20.6504,0.606969,-244.138,27.3886,84
3,20,28,55,91542.3,-8.45765,0.745461,-186.331,16.5705,39
3,20,28,60,96329.2,-3.67075,0.7402,-208.302,10.6755,16
3,20,28,65,100000,0,0,0,0,0
