fast_period,slow_period,rsi_period,threshold,final_capital,return_percentage,profit_factor,expectancy,maximum_drawdown_percentage,total_trades
2,15,21,60,93171.5,-6.82852,0.408258,-348.613,8.72854,20
2,20,21,60,99689.2,-0.310849,0.980812,-14.3641,7.67569,12
2,25,21,60,94371.1,-5.62889,0.395059,-636.379,7.731,9
2,30,21,60,95062.2,-4.93778,0.429432,-709.943,8.47055,7
2,40,21,60,95777.8,-4.2222,0.463331,-705.849,5.49847,6
2,50,21,60,92798.4,-7.20162,0.400686,-820.29,8.93314,9
3,15,21,60,93502.3,-6.49766,0.579368,-272.73,8.90178,24
3,20,21,60,92627.3,-7.37273,0.557864,-399.899,12.1543,18
3,25,21,60,89927.7,-10.0723,0.285535,-798.843,11.2667,13
3,30,21,60,92464.2,-7.5358,0.3524,-769.604,10.3705,10
3,40,21,60,95424.3,-4.57567,0.645439,-436.878,6.9906,10
3,50,21,60,94513.2,-5.48682,0.607537,-504.587,7.9143,11
4,15,21,60,92863.7,-7.13628,0.553608,-311.452,9.12148,23
4,20,21,60,92486,-7.51396,0.577879,-335.109,11.9501,22
4,25,21,60,87868.7,-12.1313,0.277409,-789.674,13.0369,16
4,30,21,60,87649.3,-12.3507,0.276188,-847.474,15.2594,15
4,40,21,60,94766.5,-5.23353,0.61124,-459.834,6.9906,11
4,50,21,60,96301.7,-3.69832,0.715969,-309.97,7.71679,12
5,15,21,60,88967.3,-11.0327,0.449483,-413.083,13.0218,27
5,20,21,60,89685.1,-10.3149,0.493779,-448.413,14.1224,23
5,25,21,60,80508.9,-19.4911,0.0500712,-1167.11,20.399,18
5,30,21,60,81735.7,-18.2643,0.0519488,-1396.27,20.3681,14
5,40,21,60,92535.3,-7.4647,0.376338,-694.814,9.08887,11
5,50,21,60,95889.2,-4.1108,0.695597,-341.591,6.16762,12
6,15,21,60,89815.8,-10.1842,0.524241,-352.494,11.4876,29
6,20,21,60,85247.6,-14.7524,0.278603,-703.6,17.3642,22
6,25,21,60,81849.8,-18.1502,0.128629,-1022.75,18.2964,19
6,30,21,60,84127.9,-15.8721,0.0605479,-1289.62,17.026,13
6,40,21,60,87170.3,-12.8297,0.161154,-1031.55,15.32,13
6,50,21,60,90961.9,-9.03807,0.365409,-718.088,11.9793,13
8,15,21,60,85841.7,-14.1583,0.421367,-508.344,15.194,29
8,20,21,60,83538,-16.462,0.228434,-796.374,18.8585,22
8,25,21,60,80654.9,-19.3451,0.107084,-1045.69,19.4893,20
8,30,21,60,86031.3,-13.9687,0.125036,-984.301,15.8141,15
8,40,21,60,87821.9,-12.1781,0.258951,-957.268,12.5427,13
8,50,21,60,91006.8,-8.99317,0.370366,-706.248,14.435,13
10,15,21,60,80486,-19.514,0.285208,-621.641,20.452,34
10,20,21,60,80091.9,-19.9081,0.170705,-826.706,23.7126,26
10,25,21,60,85145.6,-14.8544,0.0996641,-872.852,16.9678,18
10,30,21,60,88369.6,-11.6304,0.434016,-604.437,15.3303,20
10,40,21,60,89821.2,-10.1788,0.401093,-614.704,12.5698,17
10,50,21,60,90341.8,-9.65818,0.312951,-611.61,11.4976,16
